id,claim,evidence,raw,recomputed,status,wording
C01,"Gaussian @100 NFE, 3-cube, pooled 250/288 = 86.8% [82.3, 90.5]","raw per-episode records, 3 replicates","experiments/isaacgym_control/nfe_study/r{0,1,2}_gaussian_nfe100.json",True,VERIFIED,"For this checkpoint, 86.8% (250/288) across three paired 96-episode sets."
C02,"Flow @4 NFE, 3-cube, 256/288 = 88.9%",raw per-episode records,experiments/isaacgym_control/nfe_study/r*_flow_nfe4.json,True,VERIFIED,"For this checkpoint, 88.9% (256/288)."
C03,Flow @2 ties Gaussian @100 exactly on 3-cube (0.8681 vs 0.8681),raw records; paired McNemar b=c=32,nfe_study r*_flow_nfe2 vs r*_gaussian_nfe100,True,VERIFIED,"For these checkpoints, Flow at 2 calls matched Gaussian at 100 (equal success; b=c=32)."
C04,Minimum sufficient NFE is 2 on 3-cube,pooled curve + power table,experiments/audit/canonical_results.csv,True,SUPPORTED BUT LIMITED,"For this checkpoint, NFE>=2 was not measurably worse than Gaussian@100; the study is powered for ~7-point differences, so this is non-inferiority at that resolution, not equivalence."
C05,Latency scales linearly with NFE; per-call 19.1-19.9 ms,planner-only timer with cuda.synchronize; uncontended,canonical_results.csv latency_* fields,True,VERIFIED,Planner-only latency was proportional to NFE (per-call 19.1-19.9 ms across 1-100 calls) on an uncontended GPU.
C06,Measured model calls per planning decision == requested NFE for all arms,forward hook on denoiser,canonical_results.csv measured_calls_per_plan,True,VERIFIED,Model forward passes per planning decision equalled the requested NFE exactly for every arm.
C07,"4-cube: Flow@4 0.729, Gaussian 0.677, Flow@1 0.573","raw per-episode records, one 96-episode paired set",experiments/isaacgym_control/fourcube/4cube_*.json,True,VERIFIED,For these checkpoints on one paired 96-episode 4-cube set.
C08,Flow@4 beats Gaussian at 4 cubes,"paired McNemar p=0.542, Wilcoxon p=0.125, bootstrap CI includes 0",experiments/audit/recomputed_details.json,True,UNVERIFIED,Flow@4 was nominally ahead of Gaussian at 4 cubes; the difference is not statistically distinguishable at n=96.
C09,Flow@1 is worse than Flow@4 at 4 cubes,"paired McNemar p=0.0275, Wilcoxon p=0.0041, bootstrap CI [-0.180,-0.044] excludes 0",experiments/audit/recomputed_details.json,True,VERIFIED,The inference-budget effect is established within this trained Flow checkpoint; independent Flow training seeds are still required to establish that it is an algorithm-level effect.
C10,The Flow@4-Flow@1 gap GROWS with object count,"gaps 3c +0.043[0.013,0.073], 4c +0.112[0.044,0.180], 5c +0.079[0.017,0.140]; bootstrap on gap differences all include 0; NON-MONOTONIC",experiments/audit/recomputed_details.json,True,NOT ESTABLISHED,"The current checkpoint-level evidence does not support a monotonic increase in the NFE penalty with object count. The penalty was positive at 3, 4 and 5 cubes; no pairwise increase is statistically established."
C11,Policy trained ONLY on 3-cube data,"direct tensor inspection: 200,000/200,000 frames have exactly 3 active cube slots",ecdiffuser-data/push_cubes/3C_randcolor/panda_push_replay_buffer_dlp.pkl,True,VERIFIED,The policy training set contains 3 cubes in 100% of frames; no 4/5/6-cube episode exists.
C12,DLP encoder saw up to 6 cubes,"EC-Diffuser arXiv:2412.18907v2 Appendix B: DLP trained on 600,000 images from an environment with 6 cubes",primary source (paper); NOT recorded in local hparams.json,False,VERIFIED,Zero-shot POLICY generalization only. The representation had prior exposure to these object counts.
C13,Action normalization round-trip is exact,max abs err 1.49e-08 recomputed independently,ecdiffuser-data/.../3C_randcolor pkl,True,VERIFIED,Action normalize/unnormalize round-trips to 1.5e-08.
C14,Normalized-zero action decodes to a downward command,norm 0 -> raw z=-0.1498 -> -0.0187 m/step; EE height showed no drift,recomputed,True,VERIFIED,Numerically true and quantified; not associated with any measured failure. Not asserted benign.
C15,Flow is not undertrained; final checkpoint is best,"32-episode sweep 199k/399k/499k -- EXPLORATORY, and its ordering reversed at n=96",experiments/isaacgym_control/flow_step*_results.json,True,SUPPORTED BUT LIMITED,Loss is flat after ~200k steps; the checkpoint comparison was exploratory at n=32 and its ordering did not replicate.
C16,DLP reconstruction is trustworthy (1.8/255 MAE),"n=6 frames, front view, one episode, random actions, no CI",experiments/figures/dlp_reconstruction.png + dlp_imagination.py:69,False,SUPPORTED BUT LIMITED,"On six sampled frames, per-pixel MAE was 1.8/255; background dominates this metric."
C17,Flow imagination is worse (dispersion 0.417 vs 0.566/0.716),"ad hoc statistic, n=48, no CI, no validation against any quality ground truth",experiments/isaacgym_control/imagination_stats.json,False,UNVERIFIED,Decoded Flow futures appear qualitatively more smeared; a descriptive particle-dispersion statistic is lower for Flow. Not validated as a quality measure.
C18,Contact is not the failure mode,contact_rate = 1.0000 for every arm at 3 and 4 cubes,canonical_results.csv contact_rate,True,VERIFIED,Every arm contacted at least one cube in every episode; all failures were post-contact.
C19,"Current [-1,1] representation has E[x^2]=0.121; linear path loses 89% of scale",recomputed in prior phase from real data,experiments/feature_statistics.json,False,SUPPORTED BUT LIMITED,Descriptive property of the representation; no measured link to task performance.
C20,OGBench cube tasks sit at the BC floor,"prior phase, 810 episodes, one training seed","experiments/cube_triple_findings.md + data/phase9,10",False,OBSOLETE,Superseded as a research direction; not part of the current Isaac Gym story.
C21,Our Gaussian control reproduces / brackets the EC-Diffuser paper,"protocol differs: generalization checkpoint (100 steps, 12 layers, H=5) vs paper Table 5 standard config; our own episode draws",checkpoint args.json + paper Table 1/5,True,INCORRECT,Broadly consistent with the published 0.894 +/- 0.025; NOT a reproduction and the CI should not be said to 'bracket' it.
C22,"5-cube: Flow@4 0.469, Gaussian 0.417, Flow@1 0.302 (full success)","raw per-episode records, one paired 96-episode set f8dff00d, calls 1/4/100 verified",experiments/isaacgym_control/fourcube/5cube_*.json,True,VERIFIED,For these checkpoints on one paired 96-episode 5-cube set.
C23,Flow@1 is worse than Flow@4 at 5 cubes,"paired McNemar p=0.0166, Wilcoxon p=0.0213, bootstrap [-0.140,-0.017] excludes 0",experiments/audit/recomputed_details.json,True,VERIFIED,The inference-budget effect is established within this trained Flow checkpoint; independent Flow training seeds are still required to establish that it is an algorithm-level effect.
C24,"5 cubes is Regime B (useful headroom), not collapse",best arm 0.469 full success; 0-of-5 in only 1-3 of 96 episodes; contact rate 1.0000; per-object 0.72-0.80,experiments/audit/canonical_results.csv,True,VERIFIED,At 5 cubes all arms retain substantial partial competence; no arm approaches the floor.
